event_id,title,slug,state,upcoming_active_occurrences,next_date,design_status,existing_structured_content,missing_structured_content,legacy_body_present,custom_layout_present,notes,cms_url
64,Youth Summer Rock Climbing & Bouldering Camp,youth-summer-rock-climbing-bouldering-camp,published,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/64
65,Bouldering Weekend with Alizée Dufraisse,bouldering-weekend-with-alizee-dufraisse,published,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/65
13,Rockbusters weekends,climbing-weekends,draft,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/13
14,Christmas Climbing Camp,christmas-climbing-holiday,draft,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/14
15,Easter Climbing in SELLA,easter-climbing-in-sella,draft,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/15
16,Rockbusters Climbing EXPRESS,rockbusters-climbing-express,draft,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/16
19,Cataluna Climbing,catalunya-climbing,draft,0,,no audited dedicated design mapping,,overview; audience; learning; programme; comparison/options; venue copy; logistics; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/19
21,San Fermin Climbing,san-fermin-climbing,draft,0,,no audited dedicated design mapping,,overview; audience; learning; programme; comparison/options; venue copy; logistics; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/21
22,Rockbusters Private Guiding,rockbusters-private-guiding,draft,0,,no audited dedicated design mapping,,overview; audience; learning; programme; comparison/options; venue copy; logistics; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/22
23,Singing Rock Mobile Test Center,singing-rock-mobile-test-center,draft,0,,no audited dedicated design mapping,,overview; audience; learning; programme; comparison/options; venue copy; logistics; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/23
26,BIOMECHANICA FUNCIONAL,biomechanica-funcional,draft,0,,no audited dedicated design mapping,,overview; audience; learning; programme; comparison/options; venue copy; logistics; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/26
27,Rockbusters Coaching with Brother and Primo,pro-climbers-performance-coaching,draft,0,,no audited dedicated design mapping,,overview; audience; learning; programme; comparison/options; venue copy; logistics; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/27
28,Adam / Patxi / Pablo,adam-ondra-patxi-usobiaga-work-shop,draft,0,,no audited dedicated design mapping,,overview; audience; learning; programme; comparison/options; venue copy; logistics; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/28
29,Brother / Primo / Adam / Patxi / Pablo,adam-ondra-patxi-usobiaga-work-shop-extension,draft,0,,no audited dedicated design mapping,,overview; audience; learning; programme; comparison/options; venue copy; logistics; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/29
30,Daila Ojeda Climbing Clinic,daila-ojeda-climbing-work-shop,draft,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/30
34,MASTER CLASS COACHING with Klemen Becan,klemen-becan-performance-coaching-privat,draft,0,,no audited dedicated design mapping,,overview; audience; learning; programme; comparison/options; venue copy; logistics; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/34
35,"Deep Water Solo & Sailing, Mallorca",deep-water-solo-sailing-mallorca,draft,0,,no audited dedicated design mapping,,overview; audience; learning; programme; comparison/options; venue copy; logistics; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/35
36,ROCKBUSTERS SUMMER 2018,rockbusters-summer-2018,draft,0,,no audited dedicated design mapping,,overview; audience; learning; programme; comparison/options; venue copy; logistics; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/36
